Entity_Orth,Entity_Label,Parts_of_Speech
Elsie,PERSON,NNP
Benai,PERSON,NNP
Bertha,PERSON,NNP
Benair,PERSON,NNP
Grace,PERSON,NNP
Curley,ORG,NNP
"Louise """,PERSON,NNP ``
Dixon,PERSON,NNP
"Jesse """,PERSON,NNP ``
Desea,PERSON,NNP
"May """,DATE,NNP ''
Frank,PERSON,NNP
Ruth,PERSON,NNP
Nospah,ORG,NNP
Hashebegay,PERSON,NNP
Hopahanteoei,PERSON,NNP
Lucy,PERSON,NNP
"Mary "" I!",PERSON,NNP `` PRP .
Illthypah,GPE,NNP
Blanche,ORG,NNP
Keenapah,PERSON,NNP
"Ellen "" u",PERSON,NNP `` NN
Kbenapah,PERSON,NNP
Nona,PERSON,NNP
Kattie,PERSON,NNP
"Rita "" n ""
Manulito",PERSON,NNP `` CC '' SP NNP
Harriett,ORG,NNP
Mable,FAC,NNP
Mullett,PERSON,NNP
Mable,PERSON,NNP
Nakadine,PERSON,NNP
"Nellie "" l",PERSON,NNP `` NN
San Juan,GPE,NNP NNP
Opal u,GPE,NNP NNP
Beulah,PERSON,NNP
Carrie,PERSON,NNP
Kate,PERSON,NNP
San Juan,GPE,NNP NNP
Indians,NORP,NNPS
Indians,NORP,NNPS
Indian,NORP,JJ
Value of,ORG,NN IN
Indian,NORP,JJ
Indians,NORP,NNPS
Indians,NORP,NNPS
Unallotted Indians,NORP,NNP NNPS
Indians,NORP,NNPS
Indians,NORP,NNPS
Unallotted Indians,NORP,NNP NNPS
Juan Agency,PERSON,NNP NNP
Indian,NORP,JJ
Affiairs,PERSON,NNP
Nonreservation Schools,GPE,NNP NNP
fiscal year,DATE,JJ NN
Theodore,PERSON,NNP
Edna Navajo Gan Juan,PERSON,NNP NNP NNP NNP
"Alma "" "" """,PERSON,NNP `` '' ''
Yazzie,PERSON,NNP
Yazzie,PERSON,NNP
"Lucille "" "" ""
Yazzie",PERSON,NNP `` '' '' SP NNP
"Harriett "" "" ""

Sherman Institute—Riverside",PERSON,NNP `` '' '' SP NNP NNP
California,GPE,NNP
Arthur,PERSON,NNP
Harry Navajo ' San ',PERSON,NNP NNP `` NNP ''
"Harry "" "" ' ""
Ball George",PERSON,NNP `` `` '' '' SP NNP NNP
Barton,PERSON,NNP
Stewart,PERSON,NNP
Begaym Frances ',PERSON,NNP NNP POS
Begay,PERSON,NNP
Sam Capitan,PERSON,NNP NNP
"Homer "" '",PERSON,NNP `` ''
Benally,PERSON,NNP
"Edward "" "" ""
Charles",PERSON,NNP `` '' '' SP NNP
Richard,PERSON,NNP
Charley,PERSON,NNP
Richard,PERSON,NNP
Charley,PERSON,NNP
Schuler,PERSON,NNP
Chase,ORG,NNP
"Leonard "" "" ""
Coggeehall",PERSON,NNP `` '' '' SP NNP
"Harold "" "" ""
Craig",PERSON,NNP `` '' '' SP NNP
"Hugh """,PERSON,NNP ''
"Vincent "" "" """,PERSON,NNP `` '' ''
Dugahe,WORK_OF_ART,SP NNP
Dugai,PERSON,NNP
"Calvin "" "" ""
Deschene",PERSON,NNP `` '' '' SP NNP
"Fred "" _ "" ""
Fulton",PERSON,NNP `` : '' `` SP NNP
"Robert "" "" ""
Gouldm Ghee '",PERSON,NNP '' '' `` SP NNP NNP POS
"Samuel "" "" ""
Hadethechattle",PERSON,NNP `` '' '' SP NNP
"George "" "" ""
Hobson",PERSON,NNP `` '' '' SP NNP
"Richard "" "" ""
Hoeka",PERSON,NNP `` '' '' SP NNP
"Julia "" "" ""
Johson",PERSON,NNP `` '' '' SP NNP
Jordon,PERSON,NNP
Lewis,PERSON,NNP
Lambert,PERSON,NNP
"Gerald "" ' "" ""
mcKenzie",PERSON,NNP `` '' '' '' SP NN
Edwin,PERSON,NNP
Manulito,PERSON,NNP
"James "" "" W",PERSON,NNP '' `` NNP SP
McDonald,ORG,NNP
"William "" - "" ""
Nahtz",PERSON,NNP '' : '' '' SP NNP
Frank,PERSON,NNP
Page,WORK_OF_ART,SP NN
Dana,PERSON,NNP
Patrick,PERSON,NNP
"Amos W "" """,PERSON,NNP NNP '' ''
Patrick,PERSON,NNP
"Clyde "" "" ""
Partick",PERSON,NNP `` '' '' SP NNP
Indians,NORP,NNPS
Indians,NORP,NNPS
Male s,WORK_OF_ART,SP NN NN
Mentally,NORP,RB
Indians,NORP,NNPS
Indians,NORP,NNPS
San Juan,GPE,NNP NNP
June 80,DATE,NNP CD
Indians,NORP,NNPS
Indians,NORP,NNPS
Weber,PERSON,NNP
Stallions,PERSON,NNS
