Genuezmmz,1
Louia,1
Alouquarque,1
a few years ago,1
Louie,2
U. I. tau",1
Papagoos,1
quil.qfia,1
Jan. 24,1
Villa,1
Foraker,1
Attorny,1
N.H. June,1
Pueblo 11mm,1
Jan. 24th,1
Allen,7
Education,1
Wuhiugton,1
Jock,1
San Juan,10
Rupeotmny,1
June 19, 1906,1
Deer Sift-e,1
Little Water,1
1920,1
Leughiin,1
Waehincton,1
1890-1918,1
Winslow,1
some years ago,1
Crane Co.,1
Jim Azozl,1
Meme,1
Janusry,1
Iowa,1
July 89, 1905,1
Nescalero,1
Mont.,1
Jun. 6,1
Jun. 1,1
Vontura Calabaaa,1
SrWJ-wn,1
Teouque,1
Aug. 11,1
Kan8,1
Butt,4
Clork,1
Navajo,1
Charles H.Searing,1
9.. I. I.,1
W. t W 0,1
May 11, 1824,1
Teas,1
Sash Weights,1
Hinriolu,1
West Lebanon,1
Civil Service Commission,1
C. E. Decenett,1
Lhir,1
Minnie,1
Oct. 7th,1
3311,1
jobanon,1
West Lennon,1
U.S.Ind1en Industrial School,1
3211111,1
Oct. 21,1
Mull,1
W. M,1
Kane,4
Deming,1
Santa Clara Day School,1
R. I. Pringle,1
Stun Fee,1
E111,1
Sentn Fe,1
Ilgihend,1
Aztol,1
the Coenissioner of Indian,1
July 31,2
this spring,3
N. M.
Sir:-,2
July 31, 1905,1
Lyn 7th,1
Max Frost,1
10 0123,1
Late:,1
3001,1
New Mexico,66
7' 1906,1
Riverside,4
WlDudnow,1
Calif.,6
Sept. 1902,1
Dunbar 28rd,1
September 12,1905,1
Jolee Ihero,1
W. V's-M,1
Suaton,1
T.P.Hartin,1
IN" V,1
Mlee Dawson's,1
Mcnday,1
Stoam Pitt-or,1
Twenty-Two,1
Neb.,3
COMP,1
Oov't ox-,1
Santa Olen,1
Thomas W.Vbottor,010rk,1
1.3.Inlian Industrial School,1
Keeper,1
Martin S.llu.rphy,1
two weeks,1
Walther,1
Lansklo,1
the Nance Pueblo Indians,1
476,97 m»,u¢1mm.-a72/3q»,1
Bsnto Domingo,1
null-"d W,1
J'ou,1
Singer Nb,1
Ln repLy,1
Navaho Ft,1
fLscal-years,1
Ledi e,1
Lnnghlln,1
William H.Hahn,2
Bente,2
Depertnentel,1
a few years,1
Oct. 14,1904,1
3-#6,1
Escupuls Rivers,1
INA-ml,1
Wood,1
May 16, 1906,1
Carmelita Antonio,1
Nobles,1
Sen Felipe,4
Bente Fe,2
Rios,1
Blmoe,1
Vontau Romero,1
Tsos,1
1890,1
a half day,1
Marcus Boos,1
Luna 9',1
S. M. MCC.,1
Sou-spam,1
Roeeberry,1
Ncw Mexiuo,1
Frank Mead,3
Plano,1
the Netionel Archives,1
Starr Hayes,1
3911,1
Antone,1
Lnfit 3t,1
the U. S. Indian Service,1
Pueblo I111,1
Kansas City,2
Heehington,1
Elvira Hurtinez,1
a month,1
